column,row,value,qnode
,,SI.POV.RUHC,P111156
,,SI.POV.URGP,P111157
,,SI.POV.URHC,P111158
,,SI.SPR.PC40,P111159
,,SI.SPR.PC40.ZG,P111160
,,SI.SPR.PCAP,P111161
,,SI.SPR.PCAP.ZG,P111162
,,SL.AGR.0714.FE.ZS,P111163
,,SL.AGR.0714.MA.ZS,P111164
,,SL.AGR.0714.ZS,P111165
,,SL.AGR.EMPL.FE.ZS,P111166
,,SL.AGR.EMPL.MA.ZS,P111167
,,SL.AGR.EMPL.ZS,P111168
,,SL.EMP.1524.SP.FE.NE.ZS,P111169
,,SL.EMP.1524.SP.FE.ZS,P111170
,,SL.EMP.1524.SP.MA.NE.ZS,P111171
,,SL.EMP.1524.SP.MA.ZS,P111172
,,SL.EMP.1524.SP.NE.ZS,P111173
,,SL.EMP.1524.SP.ZS,P111174
,,SL.EMP.INSV.FE.ZS,P111175
,,SL.EMP.MPYR.FE.ZS,P111176
,,SL.EMP.MPYR.MA.ZS,P111177
,,SL.EMP.MPYR.ZS,P111178
,,SL.EMP.SELF.FE.ZS,P111179
,,SL.EMP.SELF.MA.ZS,P111180
,,SL.EMP.SELF.ZS,P111181
,,SL.EMP.SMGT.FE.ZS,P111182
,,SL.EMP.TOTL.SP.FE.NE.ZS,P111183
,,SL.EMP.TOTL.SP.FE.ZS,P111184
,,SL.EMP.TOTL.SP.MA.NE.ZS,P111185
,,SL.EMP.TOTL.SP.MA.ZS,P111186
,,SL.EMP.TOTL.SP.NE.ZS,P111187
,,SL.EMP.TOTL.SP.ZS,P111188
,,SL.EMP.VULN.FE.ZS,P111189
,,SL.EMP.VULN.MA.ZS,P111190
,,SL.EMP.VULN.ZS,P111191
,,SL.EMP.WORK.FE.ZS,P111192
,,SL.EMP.WORK.MA.ZS,P111193
,,SL.EMP.WORK.ZS,P111194
,,SL.FAM.0714.FE.ZS,P111195
,,SL.FAM.0714.MA.ZS,P111196
,,SL.FAM.0714.ZS,P111197
,,SL.FAM.WORK.FE.ZS,P111198
,,SL.FAM.WORK.MA.ZS,P111199
,,SL.FAM.WORK.ZS,P111200
,,SL.GDP.PCAP.EM.KD,P111201
,,SL.IND.EMPL.FE.ZS,P111202
,,SL.IND.EMPL.MA.ZS,P111203
,,SL.IND.EMPL.ZS,P111204
,,SL.ISV.IFRM.FE.ZS,P111205
,,SL.ISV.IFRM.MA.ZS,P111206
,,SL.ISV.IFRM.ZS,P111207
,,SL.MNF.0714.FE.ZS,P111208
,,SL.MNF.0714.MA.ZS,P111209
,,SL.MNF.0714.ZS,P111210
,,SL.SLF.0714.FE.ZS,P111211
,,SL.SLF.0714.MA.ZS,P111212
,,SL.SLF.0714.ZS,P111213
,,SL.SRV.0714.FE.ZS,P111214
,,SL.SRV.0714.MA.ZS,P111215
,,SL.SRV.0714.ZS,P111216
,,SL.SRV.EMPL.FE.ZS,P111217
,,SL.SRV.EMPL.MA.ZS,P111218
,,SL.SRV.EMPL.ZS,P111219
,,SL.TLF.0714.FE.ZS,P111220
,,SL.TLF.0714.MA.ZS,P111221
,,SL.TLF.0714.SW.FE.TM,P111222
,,SL.TLF.0714.SW.FE.ZS,P111223
,,SL.TLF.0714.SW.MA.TM,P111224
,,SL.TLF.0714.SW.MA.ZS,P111225
,,SL.TLF.0714.SW.TM,P111226
,,SL.TLF.0714.SW.ZS,P111227
,,SL.TLF.0714.WK.FE.TM,P111228
,,SL.TLF.0714.WK.FE.ZS,P111229
,,SL.TLF.0714.WK.MA.TM,P111230
,,SL.TLF.0714.WK.MA.ZS,P111231
,,SL.TLF.0714.WK.TM,P111232
,,SL.TLF.0714.WK.ZS,P111233
,,SL.TLF.0714.ZS,P111234
,,SL.TLF.ACTI.1524.FE.NE.ZS,P111235
,,SL.TLF.ACTI.1524.FE.ZS,P111236
,,SL.TLF.ACTI.1524.MA.NE.ZS,P111237
,,SL.TLF.ACTI.1524.MA.ZS,P111238
,,SL.TLF.ACTI.1524.NE.ZS,P111239
,,SL.TLF.ACTI.1524.ZS,P111240
,,SL.TLF.ADVN.FE.ZS,P111241
,,SL.TLF.ADVN.MA.ZS,P111242
,,SL.TLF.ADVN.ZS,P111243
,,SL.TLF.BASC.FE.ZS,P111244
,,SL.TLF.BASC.MA.ZS,P111245
,,SL.TLF.BASC.ZS,P111246
,,SL.TLF.CACT.FE.NE.ZS,P111247
,,SL.TLF.CACT.FE.ZS,P111248
,,SL.TLF.CACT.FM.NE.ZS,P111249
,,SL.TLF.CACT.FM.ZS,P111250
,,SL.TLF.CACT.MA.NE.ZS,P111251
,,SL.TLF.CACT.MA.ZS,P111252
,,SL.TLF.CACT.NE.ZS,P111253
,,SL.TLF.CACT.ZS,P111254
,,SL.TLF.INTM.FE.ZS,P111255
,,SL.TLF.INTM.MA.ZS,P111256
,,SL.TLF.INTM.ZS,P111257
,,SL.TLF.TOTL.FE.ZS,P111258
,,SL.TLF.TOTL.IN,P111259
,,SL.UEM.1524.FE.NE.ZS,P111260
,,SL.UEM.1524.FE.ZS,P111261
,,SL.UEM.1524.MA.NE.ZS,P111262
,,SL.UEM.1524.MA.ZS,P111263
,,SL.UEM.1524.NE.ZS,P111264
,,SL.UEM.1524.ZS,P111265
,,SL.UEM.ADVN.FE.ZS,P111266
,,SL.UEM.ADVN.MA.ZS,P111267
,,SL.UEM.ADVN.ZS,P111268
,,SL.UEM.BASC.FE.ZS,P111269
,,SL.UEM.BASC.MA.ZS,P111270
,,SL.UEM.BASC.ZS,P111271
,,SL.UEM.INTM.FE.ZS,P111272
,,SL.UEM.INTM.MA.ZS,P111273
,,SL.UEM.INTM.ZS,P111274
,,SL.UEM.NEET.FE.ZS,P111275
,,SL.UEM.NEET.MA.ZS,P111276
,,SL.UEM.NEET.ZS,P111277
,,SL.UEM.TOTL.FE.NE.ZS,P111278
,,SL.UEM.TOTL.FE.ZS,P111279
,,SL.UEM.TOTL.MA.NE.ZS,P111280
,,SL.UEM.TOTL.MA.ZS,P111281
,,SL.UEM.TOTL.NE.ZS,P111282
,,SL.UEM.TOTL.ZS,P111283
,,SL.WAG.0714.FE.ZS,P111284
,,SL.WAG.0714.MA.ZS,P111285
,,SL.WAG.0714.ZS,P111286
,,SM.EMI.TERT.ZS,P111287
,,SM.POP.NETM,P111288
,,SM.POP.REFG,P111289
,,SM.POP.REFG.OR,P111290
,,SM.POP.TOTL,P111291
,,SM.POP.TOTL.ZS,P111292
,,SN.ITK.DEFC.ZS,P111293
,,SN.ITK.DFCT,P111294
,,SN.ITK.SALT.ZS,P111295
,,SN.ITK.VITA.ZS,P111296
,,SP.ADO.TFRT,P111297
,,SP.DTH.INFR.ZS,P111298
,,SP.DTH.REPT.ZS,P111299
,,SP.DYN.AMRT.FE,P111300
,,SP.DYN.AMRT.MA,P111301
,,SP.DYN.CBRT.IN,P111302
,,SP.DYN.CDRT.IN,P111303
,,SP.DYN.CONM.ZS,P111304
,,SP.DYN.CONU.ZS,P111305
,,SP.DYN.IMRT.FE.IN,P111306
,,SP.DYN.IMRT.IN,P111307
,,SP.DYN.IMRT.MA.IN,P111308
,,SP.DYN.LE00.FE.IN,P111309
,,SP.DYN.LE00.IN,P111310
,,SP.DYN.LE00.MA.IN,P111311
,,SP.DYN.TFRT.IN,P111312
,,SP.DYN.TO65.FE.ZS,P111313
,,SP.DYN.TO65.MA.ZS,P111314
,,SP.DYN.WFRT,P111315
,,SP.HOU.FEMA.ZS,P111316
,,SP.M18.2024.FE.ZS,P111317
,,SP.MTR.1519.ZS,P111318
,,SP.POP.0004.FE.5Y,P111319
,,SP.POP.0004.MA.5Y,P111320
,,SP.POP.0014.TO.ZS,P111321
,,SP.POP.0509.FE.5Y,P111322
,,SP.POP.0509.MA.5Y,P111323
,,SP.POP.1014.FE.5Y,P111324
,,SP.POP.1014.MA.5Y,P111325
,,SP.POP.1519.FE.5Y,P111326
,,SP.POP.1519.MA.5Y,P111327
,,SP.POP.1564.TO.ZS,P111328
,,SP.POP.2024.FE.5Y,P111329
,,SP.POP.2024.MA.5Y,P111330
,,SP.POP.2529.FE.5Y,P111331
,,SP.POP.2529.MA.5Y,P111332
,,SP.POP.3034.FE.5Y,P111333
,,SP.POP.3034.MA.5Y,P111334
,,SP.POP.3539.FE.5Y,P111335
,,SP.POP.3539.MA.5Y,P111336
,,SP.POP.4044.FE.5Y,P111337
,,SP.POP.4044.MA.5Y,P111338
,,SP.POP.4549.FE.5Y,P111339
,,SP.POP.4549.MA.5Y,P111340
,,SP.POP.5054.FE.5Y,P111341
,,SP.POP.5054.MA.5Y,P111342
,,SP.POP.5559.FE.5Y,P111343
,,SP.POP.5559.MA.5Y,P111344
,,SP.POP.6064.FE.5Y,P111345
,,SP.POP.6064.MA.5Y,P111346
,,SP.POP.6569.FE.5Y,P111347
,,SP.POP.6569.MA.5Y,P111348
,,SP.POP.65UP.TO.ZS,P111349
,,SP.POP.7074.FE.5Y,P111350
,,SP.POP.7074.MA.5Y,P111351
,,SP.POP.7579.FE.5Y,P111352
,,SP.POP.7579.MA.5Y,P111353
,,SP.POP.80UP.FE.5Y,P111354
,,SP.POP.80UP.MA.5Y,P111355
,,SP.POP.DPND,P111356
,,SP.POP.DPND.OL,P111357
,,SP.POP.DPND.YG,P111358
,,SP.POP.GROW,P111359
,,SP.POP.SCIE.RD.P6,P111360
,,SP.POP.TECH.RD.P6,P111361
,,SP.POP.TOTL,P111362
,,SP.POP.TOTL.FE.ZS,P111363
,,SP.REG.BRTH.RU.ZS,P111364
,,SP.REG.BRTH.UR.ZS,P111365
,,SP.REG.BRTH.ZS,P111366
,,SP.REG.DTHS.ZS,P111367
,,SP.RUR.TOTL,P111368
,,SP.RUR.TOTL.ZG,P111369
,,SP.RUR.TOTL.ZS,P111370
,,SP.URB.GROW,P111371
,,SP.URB.TOTL,P111372
,,SP.URB.TOTL.IN.ZS,P111373
,,SP.UWT.TFRT,P111374
,,ST.INT.ARVL,P111375
,,ST.INT.DPRT,P111376
,,ST.INT.RCPT.CD,P111377
,,ST.INT.RCPT.XP.ZS,P111378
,,ST.INT.TRNR.CD,P111379
,,ST.INT.TRNX.CD,P111380
,,ST.INT.TVLR.CD,P111381
,,ST.INT.TVLX.CD,P111382
,,ST.INT.XPND.CD,P111383
,,ST.INT.XPND.MP.ZS,P111384
,,TG.VAL.TOTL.GD.ZS,P111385
,,TM.QTY.MRCH.XD.WD,P111386
,,TM.TAX.MANF.BC.ZS,P111387
,,TM.TAX.MANF.BR.ZS,P111388
,,TM.TAX.MANF.IP.ZS,P111389
,,TM.TAX.MANF.SM.AR.ZS,P111390
,,TM.TAX.MANF.SM.FN.ZS,P111391
,,TM.TAX.MANF.SR.ZS,P111392
,,TM.TAX.MANF.WM.AR.ZS,P111393
,,TM.TAX.MANF.WM.FN.ZS,P111394
,,TM.TAX.MRCH.BC.ZS,P111395
,,TM.TAX.MRCH.BR.ZS,P111396
,,TM.TAX.MRCH.IP.ZS,P111397
,,TM.TAX.MRCH.SM.AR.ZS,P111398
,,TM.TAX.MRCH.SM.FN.ZS,P111399
,,TM.TAX.MRCH.SR.ZS,P111400
,,TM.TAX.MRCH.WM.AR.ZS,P111401
,,TM.TAX.MRCH.WM.FN.ZS,P111402
,,TM.TAX.TCOM.BC.ZS,P111403
,,TM.TAX.TCOM.BR.ZS,P111404
,,TM.TAX.TCOM.IP.ZS,P111405
,,TM.TAX.TCOM.SM.AR.ZS,P111406
,,TM.TAX.TCOM.SM.FN.ZS,P111407
,,TM.TAX.TCOM.SR.ZS,P111408
,,TM.TAX.TCOM.WM.AR.ZS,P111409
,,TM.TAX.TCOM.WM.FN.ZS,P111410
,,TM.VAL.AGRI.ZS.UN,P111411
,,TM.VAL.FOOD.ZS.UN,P111412
,,TM.VAL.FUEL.ZS.UN,P111413
,,TM.VAL.ICTG.ZS.UN,P111414
,,TM.VAL.INSF.ZS.WT,P111415
,,TM.VAL.MANF.ZS.UN,P111416
,,TM.VAL.MMTL.ZS.UN,P111417
,,TM.VAL.MRCH.AL.ZS,P111418
,,TM.VAL.MRCH.CD.WT,P111419
,,TM.VAL.MRCH.HI.ZS,P111420
,,TM.VAL.MRCH.OR.ZS,P111421
,,TM.VAL.MRCH.R1.ZS,P111422
,,TM.VAL.MRCH.R2.ZS,P111423
,,TM.VAL.MRCH.R3.ZS,P111424
,,TM.VAL.MRCH.R4.ZS,P111425
,,TM.VAL.MRCH.R5.ZS,P111426
,,TM.VAL.MRCH.R6.ZS,P111427
,,TM.VAL.MRCH.RS.ZS,P111428
,,TM.VAL.MRCH.WL.CD,P111429
,,TM.VAL.MRCH.WR.ZS,P111430
,,TM.VAL.MRCH.XD.WD,P111431
,,TM.VAL.OTHR.ZS.WT,P111432
,,TM.VAL.SERV.CD.WT,P111433
,,TM.VAL.TRAN.ZS.WT,P111434
,,TM.VAL.TRVL.ZS.WT,P111435
,,TT.PRI.MRCH.XD.WD,P111436
,,TX.QTY.MRCH.XD.WD,P111437
,,TX.VAL.AGRI.ZS.UN,P111438
,,TX.VAL.FOOD.ZS.UN,P111439
,,TX.VAL.FUEL.ZS.UN,P111440
,,TX.VAL.ICTG.ZS.UN,P111441
,,TX.VAL.INSF.ZS.WT,P111442
,,TX.VAL.MANF.ZS.UN,P111443
,,TX.VAL.MMTL.ZS.UN,P111444
,,TX.VAL.MRCH.AL.ZS,P111445
,,TX.VAL.MRCH.CD.WT,P111446
,,TX.VAL.MRCH.HI.ZS,P111447
,,TX.VAL.MRCH.OR.ZS,P111448
,,TX.VAL.MRCH.R1.ZS,P111449
,,TX.VAL.MRCH.R2.ZS,P111450
,,TX.VAL.MRCH.R3.ZS,P111451
,,TX.VAL.MRCH.R4.ZS,P111452
,,TX.VAL.MRCH.R5.ZS,P111453
,,TX.VAL.MRCH.R6.ZS,P111454
,,TX.VAL.MRCH.RS.ZS,P111455
,,TX.VAL.MRCH.WL.CD,P111456
,,TX.VAL.MRCH.WR.ZS,P111457
,,TX.VAL.MRCH.XD.WD,P111458
,,TX.VAL.OTHR.ZS.WT,P111459
,,TX.VAL.SERV.CD.WT,P111460
,,TX.VAL.TECH.CD,P111461
,,TX.VAL.TECH.MF.ZS,P111462
,,TX.VAL.TRAN.ZS.WT,P111463
,,TX.VAL.TRVL.ZS.WT,P111464
,,VC.BTL.DETH,P111465
,,VC.IDP.TOTL.HE,P111466
,,VC.IDP.TOTL.LE,P111467
,,VC.IHR.PSRC.P5,P111468
,,VC.PKP.TOTL.UN,P111469
,,WP15163_4.1,P111470
,,WP15163_4.2,P111471
,,WP15163_4.3,P111472
,,WP15163_4.8,P111473
,,WP15163_4.9,P111474
