column,row,value,qnode
,,BX.GSR.TRVL.ZS,P110072
,,BX.KLT.DINV.CD.WD,P110073
,,BX.KLT.DINV.WD.GD.ZS,P110074
,,BX.KLT.DREM.CD.DT,P110075
,,BX.PEF.TOTL.CD.WD,P110076
,,BX.TRF.CURR.CD,P110077
,,BX.TRF.PWKR.CD,P110078
,,BX.TRF.PWKR.CD.DT,P110079
,,BX.TRF.PWKR.DT.GD.ZS,P110080
,,CM.MKT.INDX.ZG,P110081
,,CM.MKT.LCAP.CD,P110082
,,CM.MKT.LCAP.GD.ZS,P110083
,,CM.MKT.LCAP.GD.ZS,P110084
,,CM.MKT.LDOM.NO,P110085
,,CM.MKT.TRAD.CD,P110086
,,CM.MKT.TRAD.GD.ZS,P110087
,,CM.MKT.TRNR,P110088
,,DC.DAC.AUSL.CD,P110089
,,DC.DAC.AUTL.CD,P110090
,,DC.DAC.BELL.CD,P110091
,,DC.DAC.CANL.CD,P110092
,,DC.DAC.CECL.CD,P110093
,,DC.DAC.CHEL.CD,P110094
,,DC.DAC.CZEL.CD,P110095
,,DC.DAC.DEUL.CD,P110096
,,DC.DAC.DNKL.CD,P110097
,,DC.DAC.ESPL.CD,P110098
,,DC.DAC.FINL.CD,P110099
,,DC.DAC.FRAL.CD,P110100
,,DC.DAC.GBRL.CD,P110101
,,DC.DAC.GRCL.CD,P110102
,,DC.DAC.IRLL.CD,P110103
,,DC.DAC.ISLL.CD,P110104
,,DC.DAC.ITAL.CD,P110105
,,DC.DAC.JPNL.CD,P110106
,,DC.DAC.KORL.CD,P110107
,,DC.DAC.LUXL.CD,P110108
,,DC.DAC.NLDL.CD,P110109
,,DC.DAC.NORL.CD,P110110
,,DC.DAC.NZLL.CD,P110111
,,DC.DAC.POLL.CD,P110112
,,DC.DAC.PRTL.CD,P110113
,,DC.DAC.SVKL.CD,P110114
,,DC.DAC.SVNL.CD,P110115
,,DC.DAC.SWEL.CD,P110116
,,DC.DAC.TOTL.CD,P110117
,,DC.DAC.USAL.CD,P110118
,,DT.AMT.BLAT.CD,P110119
,,DT.AMT.BLTC.CD,P110120
,,DT.AMT.DIMF.CD,P110121
,,DT.AMT.DLTF.CD,P110122
,,DT.AMT.DLXF.CD,P110123
,,DT.AMT.DPNG.CD,P110124
,,DT.AMT.DPPG.CD,P110125
,,DT.AMT.MIBR.CD,P110126
,,DT.AMT.MIDA.CD,P110127
,,DT.AMT.MLAT.CD,P110128
,,DT.AMT.MLTC.CD,P110129
,,DT.AMT.OFFT.CD,P110130
,,DT.AMT.PBND.CD,P110131
,,DT.AMT.PCBK.CD,P110132
,,DT.AMT.PNGB.CD,P110133
,,DT.AMT.PNGC.CD,P110134
,,DT.AMT.PROP.CD,P110135
,,DT.AMT.PRVT.CD,P110136
,,DT.AXA.DPPG.CD,P110137
,,DT.AXA.OFFT.CD,P110138
,,DT.AXA.PRVT.CD,P110139
,,DT.AXF.DPPG.CD,P110140
,,DT.AXR.DPPG.CD,P110141
,,DT.AXR.OFFT.CD,P110142
,,DT.AXR.PRVT.CD,P110143
,,DT.COM.DPPG.CD,P110144
,,DT.COM.MIBR.CD,P110145
,,DT.COM.MIDA.CD,P110146
